Date,USD_per_Gold_oz,USD_per_Bitcoin,Gold_oz_per_Bitcoin
2015-01,1250.75,218.0233,0.17431405156905858
2015-02,1227.08,253.5991,0.20666875835316362
2015-03,1178.63,243.2692000000001,0.2063999728498342
2015-04,1198.93,236.2208,0.19702634849407388
2015-05,1198.63,229.6785,0.19161751332771582
2015-06,1181.5,262.4063254601778,0.22209591659769598
2015-07,1128.31,283.6760591480217,0.2514167730038923
2015-08,1117.93,230.0781,0.2058072509012192
2015-09,1124.77,236.0463,0.20986183842029926
2015-10,1159.25,312.2783,0.2693795988785853
2015-11,1086.44,378.265,0.34816925002761306
2015-12,1075.74,431.139,0.40078364660605725
2016-01,1097.91,364.352,0.3318596241950615
2016-02,1199.5,436.919,0.36425093789078783
2016-03,1245.14,415.366,0.33358979713124626
2016-04,1242.26,447.9029999999999,0.36055495628934353
2016-05,1260.95,531.4070000000002,0.42143383956540714
2016-06,1276.4,671.6159999999998,0.5261798809150734
2016-07,1336.66,623.7457712533022,0.46664504904261533
2016-08,1340.17,571.7582826763035,0.4266311607305815
2016-09,1326.61,608.2575,0.45850513715409963
2016-10,1266.55,698.5762999999998,0.5515584066953534
2016-11,1238.35,742.3587999999997,0.5994741389752491
2016-12,1157.36,966.5689708732556,0.8351497985702423
2017-01,1192.1,968.2663,0.8122358023655735
2017-02,1234.2,1190.3309999999997,0.9644555177442875
2017-03,1231.42,1078.274711090609,0.8756352106434919
2017-04,1266.88,1349.8863,1.0655202544834552
2017-05,1246.04,2329.0775,1.8691835735610414
2017-06,1260.26,2490.75348798041,1.976380657943924
2017-07,1236.84,2871.3680152452,2.321535538343844
2017-08,1283.04,4702.93816308458,3.665464960628336
2017-09,1314.07,4297.79117003372,3.270595303167807
2017-10,1279.51,6368.65164135745,4.977414511303116
2017-11,1281.9,10406.18772373,8.11778432305952
2017-12,1264.45,14839.5907854184,11.736004417271067
2018-01,1331.3,9989.68977659669,7.503710490946211
2018-02,1330.73,10709.3884310463,8.047754564071074
2018-03,1324.66,6897.26857786945,5.206821809271398
2018-04,1334.76,9325.62885104679,6.986745820257417
2018-05,1303.45,7380.8515577098,5.662550583228969
2018-06,1281.57,6182.25674792295,4.823971182161685
2018-07,1237.71,8185.921138302329,6.6137634327122905
2018-08,1201.71,7024.14510718162,5.845124952926763
2018-09,1198.39,6606.073795422076,5.512457376498531
2018-10,1215.39,6331.781807909807,5.209670811763965
2018-11,1220.65,4279.475592548712,3.505898982139607
2018-12,1250.4,3809.7282286410905,3.0468076044794388
2019-01,1291.75,3457.8826491759864,2.6768977349920546
2019-02,1320.07,3813.377891881294,2.8887694530451373
2019-03,1300.9,4103.856421333923,3.154628658108942
2019-04,1285.91,5199.755008563461,4.043638363931738
2019-05,1283.7,8310.891063057417,6.474169247532458
2019-06,1359.04,11972.555667220911,8.809568274091205
2019-07,1412.89,9568.437452164317,6.7722451515435145
2019-08,1500.41,9588.98750205815,6.390911485566044
2019-09,1510.58,8064.380983385267,5.33859907014873
2019-10,1494.81,9171.874474054188,6.135812895320601
2019-11,1470.79,7720.865011260837,5.249467980650424
2019-12,1479.13,7240.428912251818,4.895059198482768
2020-01,1560.67,9509.80513557522,6.0934118907746155
2020-02,1597.1,8717.331431359424,5.458225177734284
2020-03,1591.93,6403.141235565223,4.022250498178452
2020-04,1683.17,8744.430287016561,5.19521515177704
2020-05,1715.91,9662.70587254818,5.631242823078238
2020-06,1732.22,9185.166540651147,5.30254040517437
2020-07,1846.51,11116.307163685276,6.020171655547642
2020-08,1968.63,11701.004008657852,5.943729399967414
2020-09,1921.92,10837.516586513004,5.638900987821035
2020-10,1900.27,13537.174271524887,7.123816232180105
2020-11,1866.3,18169.95420978285,9.735816433468814
2020-12,1858.42,28837.28852895899,15.517099756222484
2021-01,1866.98,34199.51981036302,18.318096503638504
2021-02,1808.17,46653.52639939581,25.801515565127065
2021-03,1718.23,58668.628336761,34.14480502421736
2021-04,1760.04,53596.70402266675,30.451980649682252
2021-05,1850.26,35714.75202018067,19.302558570244543
2021-06,1834.57,35968.993667970346,19.606225801125248
2021-07,1807.84,41936.261478677225,23.1968877105702
2021-08,1785.28,47124.25422469402,26.396001873484284
2021-09,1775.14,41587.66786232295,23.427824206723386
2021-10,1776.85,61837.257002978935,34.801619159174344
2021-11,1821.76,57848.77353712989,31.754332918238347
2021-12,1790.43,47191.86838983951,26.357840513083175
2022-01,1816.02,37983.151499406464,20.915601975422334
2022-02,1856.3,37803.59016044929,20.36502190402914
2022-03,1947.83,47063.36584996355,24.161947320846046
2022-04,1936.86,38650.55013809267,19.95526271289235
2022-05,1848.5,31740.94072516695,17.171187841583418
2022-06,1836.57,20108.529472889782,10.948958914111515
2022-07,1732.74,23653.4595494308,13.650899471029007
